table,column,label,type,required,unit_or_options,notes
common,record_uuid,记录UUID,text,yes,,所有可导入表必须包含
common,content_hash,内容哈希,text,no,SHA256,用于跨电脑去重和冲突识别
patient_master,patient_uid,患者内部ID,text,yes,,系统生成主键
patient_master,research_id,研究编号,text,yes,,导出使用的脱敏编号
patient_master,inpatient_no,住院号,text,yes,,需人工确认
patient_master,medical_record_no,病案号,text,yes,,需人工确认
patient_master,name_token,姓名脱敏码,text,yes,,不得保存真实姓名
patient_master,sex,性别,enum,yes,男|女|未知,
patient_master,birth_date,出生日期,date,no,,可用于计算年龄
patient_master,age_at_admission,入院年龄,number,no,岁,可由入院时间计算
patient_master,qc_status,质控状态,enum,yes,待确认|已质控|随访中|缺失项过多,
encounter,encounter_id,就诊/住院次ID,text,yes,,系统生成
encounter,patient_uid,患者内部ID,text,yes,,关联 patient_master
encounter,admission_date,入院时间,date,no,,
encounter,discharge_date,出院时间,date,no,,
encounter,length_of_stay_days,住院天数,number,no,天,由入院时间和出院时间自动计算
encounter,length_of_stay_calc_method,住院天数算法,text,no,出院日期-入院日期+1,派生字段说明
encounter,length_of_stay_source,住院天数来源,text,no,admission_date+discharge_date,导出说明页展示
encounter,length_of_stay_status,住院天数状态,enum,no,已计算|待出院|日期错误|缺失,
encounter,department,科室,text,no,,
encounter,visit_type,就诊类型,enum,no,门诊|住院|急诊|随访|其他,
encounter,source_system,来源系统,text,no,HIS|病案系统|人工录入,
diagnosis,diagnosis_id,诊断ID,text,yes,,系统生成
diagnosis,patient_uid,患者内部ID,text,yes,,关联 patient_master
diagnosis,encounter_id,就诊/住院次ID,text,no,,关联 encounter
diagnosis,diagnosis_text_raw,原始诊断文本,text,yes,,保留HIS/病历原文
diagnosis,diagnosis_name_std,标准诊断名称,text,no,,人工确认或字典映射后填写
diagnosis,diagnosis_code,诊断编码,text,no,ICD-10|ICD-O|院内编码,
